Username,Title,Description,Date,Rating
fcchm,Amazing movie!,"This is one of the biggest triology in history, I also think that by the time this movie came out was unfair to not have won more awards.

Even though I still consider a masterpiece in the cinema world!

The characters, the epic escenes that you can find is just unbelivable, and if you watch it for the first time, make sure that you enjoy it and pay careful attention so you can understand from the beggining to the end, and appreciate what is to be in presence of the most incredible movies of all times.

Fun fact: the actor who played as frodo in the movie has a interesting collaboration in a different movie with an actress that was in another industry before!

Anyway I hope everyone enjoy it! Peace✌",2/3/2025,10
claudetvere,Good Review,"A must watch for everyone, very entertaining keeping you on the edge of your seat. ""The Lord of the Rings"" is a cinematic masterpiece that transcends the fantasy genre. The stunning visuals, from the lush landscapes to intricate set designs, transport viewers into an immersive experience. The performances are exceptional, particularly Ian McKellen as Gandalf and Elijah Wood as Frodo, who embody their characters with depth and emotion. The score by Howard Shore is hauntingly beautiful, enhancing every scene. Themes of friendship, courage, and sacrifice resonate deeply, making this trilogy a timeless classic that continues to inspire. Highly recommended!",2/3/2025,10
urayaijoyin,Nice one,"The Lord of the Rings is a masterpiece! Peter Jackson's vision brought Middle-earth to life. Epic battles, stunning landscapes, and memorable characters like Frodo, Sam, and Gandalf make this trilogy unforgettable. A timeless tale of friendship, sacrifice, and the struggle between good and evilWith its richly detailed world-building, memorable soundtracks, and outstanding performances, the trilogy has become a cultural phenomenon, inspiring countless fans with its universal themes and values. The Lord of the Rings trilogy is a masterpiece of storytelling. Peter Jackson's vision brought Middle-earth to life with breathtaking landscapes, epic battles, and memorable characters. The trilogy's themes of friendship, sacrifice, and good vs. Evil resonate deeply. With outstanding performances, iconic soundtracks, and richly detailed world-building, it's a cultural phenomenon inspiring fans worldwide. Its influence on fantasy literature and filmmaking is immeasurable, cementing its place as one of the most beloved stories of all time, captivating audiences for generations.",2/3/2025,10
amosbuzuzi,Fantastic movie a 10/10,"An absolutely gorgeous adaptation of J. R. R. Tolkien's first LORD OF THE RINGS installment detailing how well-meaning young hobbit Wood unwittingly inherits a ring from his adventurous uncle Holm which possesses a dark force that is powerful enough to end all life in Middle-Earth. Visually wondrous even for those who aren't that into the fantasy genre. This installment is particularly charming for less action and more character development and, for some reason, the Middle-Earth lingo works really well in this movie over the second and third films. Although FELLOWSHIP merely teases the viewer with the appearance of Gollum-while TWO TOWERS and RETURN are basically owned by Serkis as Tolkien's timelessly wretched creature who's not quite friend or foe-the movie is just too lovable to really even need his inclusion. McKellen is perfect as Gandalf the Grey, and Bean's performance brings to the foreground the genius of all these characters who suffers from similar temptations and weaknesses that we do in reality. It is FELLOWSHIP that holds the clearest mirror up to us, while the following two films kind of just linger in the wartime aftermath. The greatest fantasy film of all-time.

Truly a masterpiece.",2/3/2025,10
vimbaimuseredza,"Awesome,incredible movie","...but oh was I thankful for it!!! All through the movie I kept on having this big large smile sculpted into my face. For the record, I'm 25 years old, and I've read ""The Lord of the Rings"" in three times for the first time when I was six or seven years old. Ever since then, I read it at least once or twice a year - therefore you can count me as a fan, for I follow the same cult fan procedure with ""The Hobbit"" and ""The Silmarillion"" as well. Now onto the movie... Gosh, I saw it more than one time, and I keep wanting more of it. It just never gets boring! I really enjoyed the little stuff that is found throughout the movie for fans of the books (the map on Bilbo's table in his house comes to mind, it is exactly as the one in ""The Hobbit"" book that I own), and I also incredibly enjoyed the intro sequence with the re-telling of the battle against Sauron from the Silmarillion, never has an ultimate evil being been so well depicted on the screen. It truly is Sauron.

Those who argue the movie cuts too many parts or that it changes the story too much are totally wrong. This movie could not have shown the whole first time in its entirety - keep in mind that the audiobook version of 'Fellowship of the Ring' lasts well over ten hours, making a movie this long would, well, make it way too long and besides, how would you financially sustain such a project? I've read a reviewer saying he'd make all three books with the time allowed for the first movie alone. I think it would be a very fast-forwarding experience of a movie with 'Alvin and the Chimpmunks' kind of voices, incredibly stupid to say the least.

Ok, so there are changes in the movie - well, this is Jackson's vision of it. All of us have our own visions of the books, which may or may not be compatible with that of Jackson's, but I can safely assume that nobody can say they have a hundred percent the same vision of the story as Tolkien; that's the thing with books: each reader has a different vision of it. As for me, I was blown away. Never before have I felt so much at home in a movie, it is as if I had taken a walk in the town where I grew up, the Shire, Rivendell, Moria, Lorien, everything felt so much like home, I was moved. I cannot tell of another movie that had me shed tears just by seeing a landscape on screen.",3-Feb,10
rudeless,barely met expectations,"First of all, LOTR isn't a bad movie at all. In fact I find it pretty good. But can a movie meet such high expectations? I don't think so...too many people have been waiting too long for this movie. A LOTR mania is about to start. Here are some brief remarks of what I thought of the movie: First of all, the settings, landscapes, characters, camera work and overall art direction are great. Well taken care of, like you would expect from a movie with this big-a-budget. The story is kept in tact, and the thee hours pass in no-time. My only 'problem' is: if you make a mix between 13th warrior, the Neverending Story, Dragonheart, Braveheart, Gladiator and the Mummy you'll end up with the same result. It's a good movie because the makers had to guts to make a movie about such world renowned books...but the movie itself doesn't come up with anything new or shocking.",12/11/2001,7
Joe12321,"Good Story, Bad Movie","Now don't get me wrong, I enjoyed the movie. The story is incredible in book and on screen, but the Screen Adaptation was lackluster. The jokes and the drama were pretty cheezy in a lot of places. They still worked, but for a classic like the LOtR Trilogy I would hope for a more mature movie.

And the cinematography was wretched. They repeated the same over-done, helicopter-circling-establishing-shot every time the fellowship came to a new location. The action scenes were largely shot in the hand-held, up close style and while I admit there is some use for this, it is hardly original, and I think we would prefer to actually SEE the action!

And the character's sizes were all wacked out...I understand it was hard to make big people into little people, but for the amount of money put into this movie I think the sizes could have been constant.

But as I said it was a great story, I loved watching the movie, I just wish it had been done by a more capable director+crew.",12/18/2001,7
taz1126,"Great eye candy, however story lacks peaks and valleys","Just got home from seeing this movie. Let me start off by saying the cinematography is fantastic, and the special effects are awesome. But that's pretty much where it stopped impressing me.

With all the hype about this film, the storyline has all but been fully revealed, thus not leaving many surprises. The plot never really took me up very high and failed to drop me to any depths. I felt that it lacked any highs and lows, and rather continued on a flat journey. (visually, a very impressive journey - but as far as the storyline went, I wasn't all that impressed) What I'm trying to say is that I really didn't become very attached to any of the characters, and therefore couldn't really have sympathy for them during their losses and didn't feel very rewarded during their triumphs.

I do feel that the high ratings it has received is largely due to the spectacular special effects, very impressive computer animation, and breathtaking scenery. (which is why I gave it a 7/10) While it's certainly no Star Wars (New Hope, Empire, and Jedi all get 10/10 in my book) or Braveheart (another 10); VISUALLY it is an excellent film.

I will be anxious to see what they give us in the next two...

Just my $.02 so please keep the flames to a min. =)",12/18/2001,7
Bob-240,Never-ending bloodbath & nightmare!,"The promotion of this movie is a fraud. I walked into this movie believing it was a fantasy but found I was in a never-ending, 3 hour nightmare. This movie is not for children or adults of weak constitution. I can't count the number of people slaughtered but it must be in the thousands. It is so bad I am reminded of `Conan the Barbarian' but at least with that movie I expected it. The endless decapitations and severed appendages are truly disturbing. Beyond the carnage are the truly horrible scenes of monsters right out of your worst nightmare. I am sure many people who see it will have nightmares for years to come. But the biggest disappointment of all is that it does not come to a conclusion  it just abruptly ends leaving you with the dilemma of suffering through the next two installments to see the conclusion. This is something I will never do. There is one saving grace and that is that it is well made and well acted. Unfortunately, this cannot overcome the nightmare.",12/18/2001,3
Bo Duke,Brilliant? No. Overrated? Yes.,"This movie was highly average. There were plot holes so big you could drive a truck through them, and boy, did this movie drag on and on and on... Some good action, and good acting. CGI was nothing new or special, nothing we haven't seen before. Most comments I heard walking out were moderate to negative, very few positives. Just another case of an average film getting waaay too much hype and not being able to live up to it.",12/19/2001,3
superbit,"If I wanted to see 3-hour long theatrical trailer, I'd rent Star Wars","If I wanted to see 3-hour long theatrical trailer, I'd go rent Star Wars Episode I. Make this movie at least a little boring, with some substance, a little more attention to detail and, please, bring those ""people"" down to earth so I can relate to them!!! So I don't have to sit in the movie theater and wish that I could be watching this on DVD and be taking a lot of breaks. Ian McKellen's performance was the only great thing in this movie, everything else was done with little respect to Tolkien or the mood of the book and just for the sake of making a movie. Frodo (Elijah Wood) acted like he came out of coma most of the time, I had much higher expectations for him. I only read half of the book and I am happy to go back and read something that I can actually relate too.",12/23/2001,3
Bendrago,Not nearly as good …,"Right, the problem here is that while it is an allright movie, it's nothing more than an action adventure movie. The ""magic"" of Tolkien has been lost and replaced by hollywood cliff hangers & lot's of action. The movie changes a lot (and I do mean a LOT) from the book and that in my opinion is so totally wrong.

Reading the other reviews here I cant help but to laugh, I mean other people call this the best movie ever, not even close, not in the same galaxy even, I agree with someone that stated in his review that if this movie was called something else it wouldn't get half this good reviews.

90% of commenteers here look at this movie through pink glassess, they are too afraid to admit that there could be something wrong or something missing because this is after all ""the"" movie they have been waiting for.

In all honesty it's a good movie, rates between 7 - 8 / 10 but it does trample the legacy of Tolkien by making the rather slow paced book to an action flick with little consern to the characters and their motives.

This movie just doesn't ""live"" like book does.

Do watch it and enjoy it, but rate it with open eyes.",12/16/2001,1
duanecroft,The movie is terrible.,"I'm a die-hard Lord of the Rings fan. I read the books for the first time over 30 years ago. I've read it over 50 times - including once out loud to my daughter when she was a little girl. I was very, very excited about seeing the movie. However, it turned out to be a major disappointment. Actually, it's much worse than that - I'm heartbroken. They cut an incredible amount of stuff, added a bunch of garbage that Tolkien never wrote and significantly changed many of the parts that they did see fit to leave in. At least I don't have to worry about seeing the next two - this one is so bad that there is no way I would ever go to see the next ones. I'd pay money to avoid seeing the next two and double to get out of the theater if I entered by mistake!",12/18/2001,1
watto124,Shockingly triumphant! The BEST film of 2001! No question!,"December 18 was a pretty normal day for me to begin with. I looked in the paper and saw in the film listings that a midnight showing of ""The Fellowship of the Ring"" would take place that evening. I quickly called people and asked if they would like to join me and they said, without hesitation, ""yes"". I bought six tickets in all, and the rest of my day was filled with anticipation. After arriving at approximately 11:15pm, I could tell this would be something special just from the quantity of people ready to set their eyes on a masterpiece. After 30 min. of trailers, the film began and there was an aura af astoundment and joy flowing through the dark room. Rare was a person that was fidgeting or going to the bathroom or concession stand or anything like that. The images on the screen startled the mind, and 3 quarters of the way through the film, you'd already gone through every emotion thinkable with it: anger, joy, love, sadness, excitement, amusement, everything. It is by this time, the first time you see the movie, you're overwhelmed by the eye candy, emotional intensity, adrenaline rushes during the action scenes, and best of all, the sweeping narrative and STELLAR acting. The cast could not have been so impeccable as this one. Let me just say that, if I had my way, EVERY cast member would earn an acting Oscar. Peter Jackson has made an engaging film that challenges, entertains, and best of all: tells a story. There is an equal balance of CGI and live effects in the film, so that seeing something spectacular doesn't seem boring. Shore's score is awesome, and the cinematography is positively astounding. In the theatre, when the credits rolled on the screen, everyone in the place was entranced by what they just saw, and everyone in the theatre was p****d they had a wait a year to see more. I could have not asked for a better movie! The best film of the year! SEE IT!! SEE IT AGAIN!! 10/10",12/18/2001,10
stockardtravis,SEVERELY Overhyped,"I (gods honest truth) don't understand the hype. This is just game of thrones with a ring, if game of thrones had an obnoxiously slow and annoying storyline. ""This is powerful"" ""well this is more powerful"" ""yeah but this is even MORE powerful"" all while going on a jargon filled, meaningless 3 hour long journey.

The ONLY enjoyable aspect of this movie is Gandalf, and he dies with an unforgettably bad hour left in the film. I can't remember the last time i saw a movie filled with so many stars, yet comes across so boring. The hobbits, the archer & elf are all useless, especially Frodo. The whole ""look! This super weak, looked down upon character is ACTUALLY the most important!"" Shtick is just annoying in this. 5/10 because it's an incredibly AVERAGE movie that's overhyped.",6/21/2024,5
alienstranger,"I'm not a big fan of fantasy,gangster and animation movies i guess...","Everybody has different life background and likes the movies according to it. It doesnt mean one's low rated movies are actually bad but it simply means that those movies might not have matched with one's life background and resultantly with the movie taste. I have rated all the gangster and fantasy movies with just 5 out of 10. But it doesnt mean that they actually are bad movies for everyone. I was impressed with the money and technology which was used in The Lord of the rings trilogy but i usually tend to like reality based and close to truth movies more with less killing, fighting and bloodshed. Thats the only reason why i didnt like this trilogy much...",12/24/2023,5
bridgetlok3n,um,"While Lord of the Rings is one of the most widely known and loved movie and book franchises in the world, it is not the movie for me. I can recognize why it's so popular, it brought a new standard for special effects to the 2000's and a classic book to life. However, after enduring four hours of little men with hairy feet panicking over a ring, I believe it's slightly overrated.

This isn't the most ground-breaking movie ever created but it does deserve a substantial amount of credit. I have watched both the extended and non- extended version and neither were very riveting, despite being adventure stories. As someone who is not the biggest fan of the fantasy genre, this movie was very hard to get into. The most entertaining part of the movie was Frodo's facial expressions and the 2001 fighting scene special effects. The extended version even threw in some questionable and off-putting extreme close ups of Gandalf's face and hobbit feet. However, there is something to be said for the number of movies the Lord of The Rings influenced after its release and the attention to detail within the franchise. It had some exceptionally stunning shots and the complex world building carried from the book to the movie was well executed. Although I don't wish to ever watch this movie again, I acknowledge that it unearthed a new side to fantasy that raised the bar significantly.",6/17/2022,5
ha-55579,It's not as good as people praise it to be,"After having this movie on my watchlist for years, I finally gave it a chance with an open mind. My expectations were high because people often claim it to be the greatest movie trilogy of all time. However, after investing almost an hour in the movie, I realized it simply wasn't my cup of tea. There was no meaningful symbolism, character development, or strong dialogue. The plot felt dull, and I didn't feel any emotional connection to the characters-no character death made me feel even a little sad. In the end, I'd say it's a good movie for kids, but it just wasn't for me and i still forced myself to watch it.",10/4/2024,6
alexo-15942,The Standard For All Fantasy Films,"Lord of The Rings is, to me, the industry standard for fantasy films. That being said, it doesn't particularly resonate with me personally. Despite the strongly communicated themes of the virtues of bravery and fellowship, the downfall of this film (and book it's based off) is its worldbuilding. LOTR makes use of ""hard world building"", the narrator (or in this case the director) is very explicit in their worldbuilding, you directly see their vision through the inclusion of many details and direct explanations of events, characters, and places. LOTR uses this to great success, sadly it just doesn't resonate that well with me. I prefer the opposite, ""soft worldbuilding"", implicitly building the world leaving more up to interpretation. I don't mean to say that soft worldbuilding is objectively better, it's just my preference. This is why Lord of The Rings isn't really my type of movie, despite this I still think it's objectively good, the cinematics shine through here, the use of wide shots really encapsulates the scope of the world that this story takes place in, something I did really appreciate. The characters are also great, so all in all I do really think this movie set the bar for fantasy films in Hollywood. But again, it just doesn't really appeal to my preferences.",6/1/2022,6
cathy1500-294-285224,Frodo ruins it,I have seen The Hobbit six times and The Lord if the Rings twice only because Frodo is the most useless and annoying character in this entire saga. He is weak and not a good judge of character. Anytime some minor inconvenience arises he lies down and goes into a shock. Between gollum and Sam he chose gollum. And thanks to gollum the Ring was destroyed otherwise he was taking it back. What part of this entire journey was heroic for him?,8/3/2020,6
pshukis,The tide has turned??,"Where were all these negative reviews when i bought my ticket?? :) Honestly, it was a fine adaptation, on par or slightly above your average great-book-turned-good-movie-but-not-quite-enough film. Let's be honest-- we expected too much and got suckered juuuuuust a bit. That being said, i enjoyed the movie. Beginning was slow, Bilbo was by far the best actor in the movie, his scenes were the best. The Balrog scene and the proceeding scene were absolutely stunning. The rest was really good. My big gripe?

**** SPOILER ****

i invest 3 hours of my life into this movie, come to terms with its minor flaws, and what line do the three hunters leave me on?? i believe it was aragorn saying... wait for it... ""LET'S HUNT SOME ORC!!"" I mean JESUS!!! Did they hire the screenwriter from Rambo just for that line?? ruined the movie for me and left the bad taste in my mouth that prompted this negatively leaning review.

**** END SPOILER ****

I still liked the movie. Love John Rhys Davies, love Hugo Weaving, love Cate Blanchette, LOVE Sir Ian McKellen. All in all didn't mind the Arwen thing. I guess that's it... oh, Samwise. Fantastic. that was the one character i was NOT looking forward to. (Mikey from the Goonies?? in LOTR?!?? please...) Sean was really great. I guess that wraps it up.",12/18/2001,8
